"timestamp","total_lots","lot_type","lots_available","carpark_number","update_datetime"
"","232","C","151","BJ45","2023-10-01T10:50:01"
"","10","H","0","SK44","2023-10-01T10:44:27"
"","124","Y","109","",""
"","418","C","272","",""
"","93","C","51","U48","2023-10-01T10:47:19"
"","101","C","51","U5","2023-10-01T10:49:59"
"","493","C","313","JM14","2023-10-01T10:50:39"
"","468","C","267","JM12","2023-10-01T10:50:41"
"","210","C","33","W39","2023-10-01T10:50:57"
"","735","C","420","PL67","2023-10-01T10:51:04"
"","10","H","0","SK40","2023-10-01T10:44:27"
"","81","Y","66","",""
"","514","C","416","",""
"","400","C","107","U9","2023-10-01T10:49:39"
"","595","C","186","U26","2023-10-01T10:49:57"
"","625","C","257","U25","2023-10-01T10:49:43"
"","46","C","14","U24T","2023-10-01T10:49:50"
"","364","C","124","U24","2023-10-01T10:49:32"
"","713","C","339","U23","2023-10-01T10:50:24"
"","495","C","207","U22","2023-10-01T10:50:24"
"","313","C","159","U21","2023-10-01T10:50:31"
"","1109","C","546","U2","2023-10-01T10:49:35"
"","361","C","142","J45","2023-10-01T10:50:01"
"","128","C","39","TM25","2023-10-01T10:50:42"
"","124","C","50","TM26","2023-10-01T10:50:49"
"","239","C","178","TM27","2023-10-01T10:50:52"
"","269","C","117","J37","2023-10-01T10:50:29"
"","60","C","11","BM1","2023-10-01T10:50:33"
"","53","C","25","BM2","2023-10-01T10:50:34"
"","460","C","245","BM26","2023-10-01T10:50:36"
"","220","C","109","BWM","2023-10-01T10:50:37"
"","150","C","42","TBMT","2023-10-01T10:41:14"
"","50","H","0","",""
"","70","Y","59","",""
"","384","C","119","TPM","2023-10-01T10:50:42"
"","338","C","146","U29","2023-10-01T10:50:36"
"","20","C","0","U27","2023-10-01T10:50:29"
"","312","C","84","U18","2023-10-01T10:50:27"
"","143","C","90","U30","2023-10-01T10:50:03"
"","50","H","50","SK48","2023-10-01T10:46:32"
"","103","Y","79","",""
"","471","C","214","",""
"","298","C","116","TE25","2023-10-01T10:50:40"
"","19","C","0","TE3","2023-10-01T10:50:31"
"","30","C","2","TE4","2023-10-01T10:50:36"
"","15","C","0","U28","2023-10-01T10:50:33"
"","59","C","0","A15","2023-10-01T10:50:49"
"","51","C","3","BM28","2023-10-01T10:47:07"
"","50","H","50","",""
"","40","Y","28","",""
"","46","C","0","BM30","2023-10-01T10:47:02"
"","50","H","50","",""
"","40","Y","40","",""
"","284","C","125","BTM","2023-10-01T10:45:01"
"","124","H","50","",""
"","124","Y","40","",""
"","496","C","328","BTM2","2023-10-01T10:45:04"
"","50","H","50","",""
"","67","Y","40","",""
"","334","C","156","SAM2","2023-10-01T10:46:58"
"","50","H","50","",""
"","122","Y","35","",""
"","243","C","97","TBM2","2023-10-01T10:46:58"
"","50","H","50","",""
"","72","Y","40","",""
"","350","C","249","TJ34","2023-10-01T10:50:28"
"","348","C","214","U31","2023-10-01T10:50:09"
"","413","C","242","BL13","2023-10-01T10:50:03"
"","248","C","71","HG10","2023-10-01T10:50:12"
"","1000","C","217","W3","2018-12-20T03:59:43"
"","224","C","81","BJ65","2023-10-01T10:50:25"
"","70","C","11","CK19","2023-10-01T10:50:21"
"","10","C","3","CK4","2023-10-01T10:50:05"
"","453","C","61","CK42","2023-10-01T10:50:23"
"","298","C","174","CK7","2023-10-01T10:50:11"
"","108","C","0","TW1","2023-10-01T10:50:15"
"","355","C","47","TW2","2023-10-01T10:50:11"
"","338","C","77","TW3","2023-10-01T10:49:57"
"","120","Y","99","SK49","2023-10-01T10:46:32"
"","10","H","10","",""
"","483","C","369","",""
"","364","C","25","B16","2023-10-01T10:50:12"
"","385","C","16","B17","2023-10-01T10:50:27"
"","385","C","151","B20","2023-10-01T10:50:04"
"","123","C","28","B42","2023-10-01T10:50:02"
"","67","C","0","B45","2023-10-01T10:50:26"
"","521","C","117","B6","2023-10-01T10:50:30"
"","99","C","0","B63","2023-10-01T10:49:40"
"","756","C","287","B65","2023-10-01T10:49:17"
"","86","C","0","B7","2023-10-01T10:49:51"
"","41","C","23","B70","2023-10-01T10:49:50"
"","249","C","136","B71","2023-10-01T10:50:23"
"","129","C","0","B7A","2023-10-01T10:49:59"
"","113","C","47","B8","2023-10-01T10:49:50"
"","250","C","177","B80","2023-10-01T10:49:33"
"","555","C","441","B84","2023-10-01T10:49:59"
"","75","C","75","B90","2015-03-03T05:02:19"
"","104","C","42","CC5","2023-10-01T10:50:14"
"","41","C","0","CC6","2023-10-01T10:50:23"
"","353","C","126","B30","2023-10-01T10:49:22"
"","415","C","194","B31","2023-10-01T10:49:43"
"","755","C","514","TJ28","2023-10-01T10:50:20"
"","833","C","490","TJ31","2023-10-01T10:50:22"
"","384","C","384","TJ37","2019-12-01T08:28:01"
"","115","C","75","AM16","2023-10-01T10:49:34"
"","91","C","30","AM32","2023-10-01T10:48:39"
"","385","C","122","BJ2","2023-10-01T10:50:26"
"","287","C","141","CK48","2023-10-01T10:50:20"
"","544","C","239","BE8","2023-10-01T10:49:56"
"","198","C","4","SE11","2023-10-01T10:49:50"
"","548","C","412","SE20","2023-10-01T10:49:56"
"","29","C","0","SE21","2023-10-01T10:49:56"
"","20","C","0","SE22","2023-10-01T10:49:56"
"","185","C","50","SE23","2023-10-01T10:49:51"
"","167","C","0","SE24","2023-10-01T10:49:59"
"","309","C","211","SE53","2023-10-01T10:50:27"
"","89","Y","65","SK50","2023-10-01T10:46:32"
"","10","H","0","",""
"","471","C","341","",""
"","88","C","21","FR4M","2023-10-01T10:43:53"
"","50","H","0","",""
"","23","Y","4","",""
"","88","C","40","BJ31","2023-10-01T10:50:09"
"","484","C","247","BJ32","2023-10-01T10:50:26"
"","140","C","77","BJ34","2023-10-01T10:50:18"
"","140","C","30","BJ35","2023-10-01T10:50:19"
"","140","C","59","BJ36","2023-10-01T10:50:04"
"","512","C","324","BJ37","2023-10-01T10:50:15"
"","50","C","0","TP31","2023-10-01T10:49:58"
"","216","C","139","BJ38","2023-10-01T10:50:09"
"","550","C","397","BJ39","2023-10-01T10:50:16"
"","585","C","321","BJ40","2023-10-01T10:50:09"
"","344","C","110","CK38","2023-10-01T10:50:20"
"","938","C","256","A38","2023-10-01T10:50:47"
"","141","C","32","A43","2023-10-01T10:50:03"
"","750","C","345","CK8","2023-10-01T10:50:17"
"","373","C","290","CK8A","2023-10-01T10:50:23"
"","371","C","185","CK39","2023-10-01T10:50:17"
"","444","C","206","CK41","2023-10-01T10:50:08"
"","673","C","378","CK46","2023-10-01T10:50:18"
"","695","C","533","CK47","2020-11-03T08:46:36"
"","396","C","146","SE32","2023-10-01T10:49:44"
"","302","C","89","SE33","2023-10-01T10:49:44"
"","198","C","88","SE39","2023-10-01T10:49:44"
"","1004","C","742","BJ43","2023-10-01T10:50:50"
"","378","C","217","CK22","2023-10-01T10:50:06"
"","420","C","186","CK36","2023-10-01T10:50:08"
"","306","C","151","CK37","2023-10-01T10:50:01"
"","543","C","140","A25","2023-10-01T10:50:08"
"","118","C","29","A81","2023-10-01T10:48:51"
"","201","C","46","A82","2023-10-01T10:48:51"
"","146","C","36","A9","2023-10-01T10:49:50"
"","108","C","76","A98","2023-10-01T10:48:50"
"","873","C","577","BJ55","2023-10-01T10:50:26"
"","554","C","308","BJ56","2023-10-01T10:50:04"
"","285","C","170","CK44","2023-10-01T10:50:05"
"","220","C","80","CK45","2023-10-01T10:50:19"
"","300","C","139","SE35","2023-10-01T10:49:57"
"","300","C","150","SE38","2023-10-01T10:49:57"
"","407","C","226","SE40","2023-10-01T10:49:48"
"","611","C","414","BJ30","2023-10-01T10:49:57"
"","320","C","150","CK16","2023-10-01T10:50:15"
"","767","C","468","CK49","2023-10-01T10:50:25"
"","374","C","248","CK50","2021-02-22T09:02:22"
"","104","C","47","CKT1","2023-10-01T10:50:10"
"","318","C","168","CK51","2023-10-01T10:50:12"
"","218","C","103","CK12","2023-10-01T10:50:18"
"","326","C","152","CK13","2023-10-01T10:50:26"
"","185","C","53","CK17","2023-10-01T10:50:05"
"","136","C","58","CK30","2023-10-01T10:50:02"
"","290","C","162","CK31","2023-10-01T10:50:14"
"","389","C","208","BJ41","2023-10-01T10:50:06"
"","931","C","506","CK20","2023-10-01T10:50:12"
"","232","C","143","CK23","2021-07-06T09:42:53"
"","318","C","155","CK34","2023-10-01T10:50:19"
"","669","C","573","CKM1","2021-07-06T09:42:54"
"","457","C","212","BJ1","2023-10-01T10:50:23"
"","672","C","405","BJ48","2023-10-01T10:50:21"
"","235","C","124","CK33","2023-10-01T10:50:23"
"","193","C","0","A37","2023-10-01T10:50:33"
"","200","C","44","A39","2023-10-01T10:50:47"
"","158","C","35","A68","2023-10-01T10:49:54"
"","134","C","0","A70","2023-10-01T10:49:50"
"","185","C","0","A71","2023-10-01T10:49:54"
"","500","C","339","CK40","2023-10-01T10:50:12"
"","520","C","317","A40","2023-10-01T10:50:02"
"","149","C","21","A66","2023-10-01T10:50:18"
"","476","C","235","A69","2023-10-01T10:49:46"
"","12","C","0","A30","2023-10-01T10:50:15"
"","191","C","78","AM80","2023-10-01T10:49:52"
"","215","C","134","AM81","2023-10-01T10:49:52"
"","220","C","88","CC7","2023-10-01T10:49:40"
"","385","C","143","B88","2023-10-01T10:50:12"
"","500","C","406","H87L","2023-10-01T10:50:35"
"","585","C","347","B66","2023-10-01T10:48:59"
"","197","C","71","B53","2023-10-01T10:49:02"
"","300","C","122","B52","2023-10-01T10:49:24"
"","322","C","175","B51","2023-10-01T10:49:48"
"","6","C","0","NT6L","2023-10-01T10:51:03"
"","224","C","60","TWM6","2023-10-01T10:50:37"
"","197","C","55","B35","2023-10-01T10:49:22"
"","274","C","146","B34","2023-10-01T10:49:28"
"","129","C","45","B33","2023-10-01T10:49:00"
"","124","C","70","B32","2023-10-01T10:49:00"
"","50","C","5","KB17","2023-10-01T10:49:56"
"","164","C","0","KB10","2023-10-01T10:50:50"
"","209","C","27","KB11","2023-10-01T10:50:50"
"","41","C","9","SD9","2023-10-01T10:49:36"
"","267","C","132","W54","2023-10-01T10:48:15"
"","563","C","440","BE23","2023-10-01T10:50:57"
"","361","C","170","Y52M","2023-10-01T10:48:10"
"","262","C","107","Y9","2023-10-01T10:48:00"
"","60","C","0","Y20","2023-10-01T10:48:07"
"","1145","C","493","Y10","2023-10-01T10:48:15"
"","351","C","160","PM30","2023-10-01T10:48:41"
"","388","C","215","PM3","2023-10-01T10:47:52"
"","1000","C","843","TWM3","2023-10-01T10:50:46"
"","1272","C","1035","CK61","2023-10-01T10:50:30"
"","1318","C","1090","CK60","2023-10-01T10:50:40"
"","381","C","265","SK91","2023-10-01T10:48:08"
"","167","C","41","SK75","2023-10-01T10:50:48"
"","225","C","115","SK74","2023-10-01T10:50:43"
"","369","C","199","SK88","2023-10-01T10:50:39"
"","233","C","100","SK71","2023-10-01T10:50:59"
"","317","C","232","SK43","2023-10-01T10:47:46"
"","162","C","70","SK70","2023-10-01T10:50:48"
"","296","C","167","SK92","2023-10-01T10:47:55"
"","354","C","163","SK80","2023-10-01T10:50:43"
"","200","C","75","SK72","2023-10-01T10:50:31"
"","208","C","130","SK73","2023-10-01T10:50:30"
"","94","C","26","SK83","2023-10-01T10:47:52"
"","374","C","229","SK86","2023-10-01T10:50:30"
"","264","C","93","SK78","2023-10-01T10:50:42"
"","233","C","112","SK68","2023-10-01T10:50:42"
"","700","C","437","SK3","2023-10-01T10:48:06"
"","1164","C","739","SK58","2023-10-01T10:50:41"
"","646","C","473","SK62","2019-11-01T10:05:39"
"","113","C","69","SK87","2023-10-01T10:47:54"
"","517","C","431","CK3A","2023-10-01T10:50:57"
"","282","C","127","CK3","2023-10-01T10:50:49"
"","356","C","127","CK55","2023-10-01T10:49:59"
"","26","C","4","CK29","2023-10-01T10:50:09"
"","184","C","119","CK28","2023-10-01T10:50:03"
"","289","C","98","AM22","2023-10-01T10:49:57"
"","676","C","454","AM20","2023-10-01T10:49:57"
"","451","C","190","AM18","2023-10-01T10:49:57"
"","83","C","0","A20","2023-10-01T10:50:37"
"","97","C","57","A65","2023-10-01T10:49:11"
"","517","C","285","A60","2023-10-01T10:50:30"
"","206","C","67","A50","2023-10-01T10:50:31"
"","116","C","0","HG22","2023-10-01T10:50:32"
"","161","C","65","CK25","2023-10-01T10:50:06"
"","48","C","24","CK24","2023-10-01T10:50:16"
"","274","C","90","STAM","2023-10-01T10:44:04"
"","58","Y","24","",""
"","50","H","0","",""
"","472","C","304","AM79","2023-10-01T10:48:49"
"","220","C","82","A34","2023-10-01T10:50:34"
"","525","C","283","AM96","2023-10-01T10:49:36"
"","93","C","37","A85","2023-10-01T10:48:22"
"","358","C","199","A72","2023-10-01T10:49:46"
"","712","C","402","A67","2023-10-01T10:50:18"
"","10","H","0","SK51","2023-10-01T10:46:32"
"","142","Y","121","",""
"","541","C","435","",""
"","361","C","304","BMVM","2023-10-01T10:47:01"
"","40","Y","12","",""
"","50","H","50","",""
"","148","C","0","HE3","2023-10-01T10:48:20"
"","51","C","5","TB2","2023-10-01T10:48:10"
"","18","Y","8","",""
"","100","H","0","",""
"","360","C","0","JKM","2023-10-01T10:48:11"
"","111","Y","6","",""
"","100","H","0","",""
"","42","C","4","JKS","2023-10-01T10:48:11"
"","37","Y","0","",""
"","100","H","0","",""
"","719","C","709","SPM","2023-10-01T10:46:09"
"","50","H","50","",""
"","51","Y","40","",""
"","256","C","155","FR2C","2023-10-01T10:48:14"
"","27","Y","10","",""
"","1","H","0","",""
"","414","C","116","GM1A","2023-10-01T10:44:23"
"","180","Y","76","",""
"","1","H","0","",""
"","419","C","185","AR5M","2023-10-01T10:48:10"
"","128","Y","50","",""
"","1","H","50","",""
"","64","C","1","AR9","2023-10-01T10:48:10"
"","24","Y","18","",""
"","1","H","50","",""
"","361","C","60","C5","2023-10-01T10:48:10"
"","190","Y","127","",""
"","100","H","100","",""
"","316","C","143","C9","2023-10-01T10:45:05"
"","125","Y","103","",""
"","1","H","0","",""
"","241","C","92","U46","2023-10-01T10:50:41"
"","419","C","157","U15","2023-10-01T10:50:37"
"","159","C","34","U3","2023-10-01T10:50:40"
"","128","C","60","U32","2023-10-01T10:50:37"
"","329","C","270","B75","2023-10-01T10:49:24"
"","115","C","22","U38","2023-10-01T10:49:58"
"","214","C","71","U10","2023-10-01T10:49:54"
"","347","C","222","C8","2023-10-01T10:50:37"
"","543","C","258","J60M","2023-10-01T10:49:58"
"","27","C","0","J38","2023-10-01T10:50:10"
"","343","C","219","UBKM","2023-10-01T10:49:59"
"","287","C","77","UBK2","2023-10-01T10:49:59"
"","143","C","87","UBK5","2023-10-01T10:49:52"
"","4","C","3","NT7L","2023-10-01T10:50:21"
"","427","C","162","U17","2023-10-01T10:50:36"
"","259","C","58","U4","2023-10-01T10:50:31"
"","516","C","210","U1","2023-10-01T10:50:42"
"","4","C","0","TGML","2023-10-01T10:50:36"
"","11","C","0","BRBL","2023-10-01T10:50:42"
"","391","C","241","BL18","2023-10-01T10:50:42"
"","168","C","1","BRB1","2023-10-01T10:50:42"
"","779","C","316","J61","2023-10-01T10:50:37"
"","713","C","378","J73","2023-10-01T10:50:30"
"","367","C","154","J74","2023-10-01T10:50:40"
"","248","C","183","U39","2023-10-01T10:50:35"
"","288","C","250","U40","2023-10-01T10:50:35"
"","30","C","0","U41","2023-10-01T10:50:27"
"","882","C","267","C3M","2023-10-01T10:47:07"
"","354","Y","267","",""
"","1","H","0","",""
"","392","C","209","C4M","2023-10-01T10:48:13"
"","47","Y","35","",""
"","1","H","0","",""
"","147","C","12","J70","2023-10-01T10:50:37"
"","326","C","179","J75M","2023-10-01T10:50:36"
"","490","C","388","JM15","2023-10-01T10:50:35"
"","559","C","382","JM18","2023-10-01T10:50:35"
"","450","C","55","C24","2023-10-01T10:44:03"
"","50","H","0","",""
"","79","Y","61","",""
"","16","C","5","C27","2023-10-01T10:44:01"
"","10","H","0","",""
"","12","Y","11","",""
"","512","C","486","KTM5","2023-10-01T10:47:03"
"","170","Y","6","",""
"","100","H","0","",""
"","252","C","248","KTM6","2019-08-01T08:03:57"
"","317","C","94","BP2","2023-10-01T10:50:39"
"","1210","C","719","BBM3","2023-10-01T10:50:33"
"","951","C","510","BBM5","2023-10-01T10:50:37"
"","290","C","119","U33","2023-10-01T10:50:36"
"","303","C","106","U34","2023-10-01T10:50:43"
"","285","C","155","J84M","2023-10-01T10:50:38"
"","230","C","100","J85M","2023-10-01T10:50:43"
"","260","C","53","Q84","2023-10-01T10:48:10"
"","124","Y","44","",""
"","1","H","0","",""
"","430","C","146","Q87","2023-10-01T10:48:10"
"","168","Y","56","",""
"","1","H","0","",""
"","435","C","85","Q89","2023-10-01T10:48:10"
"","144","Y","59","",""
"","1","H","0","",""
"","46","C","5","BM5","2023-10-01T10:47:03"
"","8","Y","3","",""
"","100","H","0","",""
"","58","C","0","TB1","2023-10-01T10:47:06"
"","22","Y","12","",""
"","1","H","0","",""
"","154","C","6","TB3","2023-10-01T10:48:10"
"","56","Y","100","",""
"","100","H","100","",""
"","77","C","3","TB9","2023-10-01T10:47:06"
"","45","Y","34","",""
"","100","H","0","",""
"","106","C","0","TBC3","2023-10-01T10:47:06"
"","95","Y","0","",""
"","106","H","0","",""
"","35","C","0","C26","2023-10-01T10:44:03"
"","8","H","5","",""
"","25","Y","24","",""
"","154","C","33","C25","2023-10-01T10:44:03"
"","50","H","0","",""
"","12","Y","8","",""
"","188","C","137","C22M","2023-10-01T10:44:01"
"","50","H","0","",""
"","22","Y","16","",""
"","1165","C","835","JM7","2023-10-01T10:49:57"
"","754","C","509","JM30","2023-10-01T10:50:12"
"","220","C","54","J72","2023-10-01T10:50:23"
"","222","C","77","J69","2023-10-01T10:50:48"
"","793","C","227","JM23","2019-12-01T08:16:38"
"","1176","C","632","JM19","2023-10-01T10:50:20"
"","270","C","147","U43","2023-10-01T10:49:44"
"","383","C","220","NT7","2023-10-01T10:50:21"
"","495","C","131","W21","2023-10-01T10:51:24"
"","557","C","107","W24","2023-10-01T10:51:16"
"","424","C","234","M25","2023-10-01T10:50:26"
"","126","C","15","M3","2023-10-01T10:50:05"
"","470","C","271","M4","2023-10-01T10:50:40"
"","176","C","108","MM1","2023-10-01T10:50:05"
"","563","C","445","MM2","2023-10-01T10:50:26"
"","288","C","206","MM4","2023-10-01T10:50:05"
"","73","C","9","UA2","2023-10-01T10:50:30"
"","245","C","114","UA3","2023-10-01T10:50:18"
"","337","C","163","UA5","2023-10-01T10:50:24"
"","466","C","322","UAM1","2023-10-01T10:50:30"
"","180","C","28","JM31","2023-10-01T10:50:41"
"","1200","C","624","BBM9","2023-10-01T10:50:01"
"","383","C","188","C21M","2023-10-01T10:46:08"
"","97","Y","75","",""
"","1","H","50","",""
"","661","C","309","U13","2023-10-01T10:50:08"
"","280","C","100","C13M","2023-10-01T10:41:59"
"","110","Y","75","",""
"","50","H","50","",""
"","323","C","150","C12","2023-10-01T10:41:59"
"","120","Y","83","",""
"","50","H","50","",""
"","212","C","72","C14M","2023-10-01T10:42:01"
"","66","Y","43","",""
"","50","H","50","",""
"","767","C","287","C10","2023-10-01T10:45:19"
"","253","Y","180","",""
"","50","H","50","",""
"","239","C","94","BL10","2023-10-01T10:50:01"
"","369","C","205","BL19","2023-10-01T10:50:20"
"","196","C","52","BL3","2023-10-01T10:50:09"
